Time (s),Linear Acceleration x (m/s^2)
6.295862289E0,-7.515901327E-2
6.305754529E0,2.006286383E-2
6.315466717E0,1.339476109E-1
6.325644789E0,1.344771385E-1
6.335196665E0,6.407088041E-2
6.345626300E0,-4.347211123E-2
6.355101717E0,-4.581660032E-2
6.365422029E0,-5.302286148E-2
6.375134321E0,-1.014402807E-1
6.385301092E0,-1.116784513E-1
6.394873904E0,3.028395772E-1
6.405206144E0,4.794555306E-1
6.414759269E0,3.870022893E-1
6.425107446E0,1.186739802E-1
6.434858071E0,-4.946541786E-2
6.445058279E0,-1.598518193E-1
6.454541456E0,-6.605798006E-2
6.464875206E0,-3.574144840E-2
6.474898331E0,4.902559519E-2
6.483625988E0,7.296758890E-2
6.495869217E0,-1.000058651E-2
6.503437133E0,-4.237890244E-4
6.514603696E0,-7.841682434E-2
6.524171612E0,-6.218993664E-2
6.534853487E0,-2.976155281E-2
6.544103123E0,6.938594580E-2
6.554529008E0,-6.972557306E-2
6.563954217E0,-9.414690733E-2
6.574295258E0,-3.179939687E-1
6.583846613E0,-2.636699677E-1
6.594175987E0,-1.554720104E-1
6.603736196E0,-7.702744007E-2
6.614251873E0,6.891626120E-2
6.623626300E0,1.408104897E-1
6.634027967E0,-2.184444666E-2
6.643889894E0,-8.230739832E-2
6.654296404E0,-7.496464252E-2
6.663413592E0,9.394145012E-2
6.673905831E0,1.772127151E-1
6.683282289E0,1.928822994E-1
6.693627602E0,-2.132594585E-3
6.703171976E0,-7.077336311E-2
6.713529738E0,-9.453326464E-2
6.723088695E0,-8.723640442E-2
6.733564425E0,-5.489242077E-2
6.742959580E0,-1.931703091E-2
6.753321560E0,9.244477749E-2
6.762866716E0,8.942335844E-2
6.773214737E0,1.804095507E-2
6.782709997E0,-1.054766774E-1
6.793250466E0,-6.310325861E-2
6.802638903E0,-9.485238791E-2
6.812970987E0,-1.263888478E-1
6.822510935E0,-4.255915880E-1
6.833336352E0,-7.716645002E-1
6.842432028E0,-9.104226828E-1
6.853312967E0,-7.611621022E-1
6.862309685E0,-7.225152254E-1
6.872646768E0,-7.368564606E-1
6.882303487E0,-7.510650158E-1
6.892684841E0,-8.320592642E-1
6.902208174E0,-9.306786656E-1
6.912592237E0,-6.388511658E-1
6.921978799E0,-4.497884512E-1
6.932372341E0,-3.081984818E-1
6.941924633E0,-3.680237234E-1
6.952235518E0,-5.168918371E-1
6.961750622E0,-6.494917870E-1
6.972276508E0,2.051818371E-2
6.981655831E0,1.183297157E0
6.992006612E0,1.816645861E0
7.001551299E0,2.173573017E0
7.012378330E0,1.982951164E0
7.021470935E0,1.538451195E0
7.031946716E0,9.839876890E-1
7.041334008E0,5.445671082E-1
7.051704997E0,3.771886826E-1
7.061225674E0,3.440890312E-1
7.071571508E0,3.672199249E-1
7.081129945E0,4.397459030E-1
7.091536403E0,6.982200146E-1
7.101006768E0,1.143436909E0
7.111370518E0,1.233052492E0
7.120899737E0,1.418396950E0
7.131310258E0,1.537821770E0
7.140899581E0,1.291226387E0
7.151164893E0,9.337460995E-1
7.160673122E0,6.348712444E-1
7.171045883E0,4.813058376E-1
7.180589112E0,2.014894485E-1
